ID|SalesArea|TimeSince1stOpening|TimeSinceLastOpening|HasCoffee|IsInShoppingMall|HasOnSiteBakery|Population_by_ZC_area_500m|Population500m|Population200m|Population100m|PurchasingPower500m|PurchasingPower200m|PurchasingPower100m|AlcSpending|FoodNonAlcSpending|TobaccoSpending|PopulationDistrict|NonNetworkShopsPerPop|NonNetworkShopsPerPP|NonNetworkShops|ZabkaCount500m|ZabkaCount200m|ZabkaCount100m|SelectedGFKNetworksPerPop|SelectedGFKNetworksPerPP|SelectedGFKNetworksPerZCArea|SelectedGFKNetworks|HighPriceCompetitors500m|HighPriceCompetitors200m|HighPriceCompetitors100m|LowPriceCompetitors500m|LowPriceCompetitors200m|LowPriceCompetitors100m|Discount_500mers500m|Discount_200mers200m|Discount_100mers100m|LiquorStores500m|LiquorStores200m|LiquorStores100m|DirectCompetitors500m|DirectCompetitors200m|DirectCompetitors100m|traditional_shops_100m|traditional_shops_200m|traditional_shops_500m|HasBiedronkaIn500|HasBiedronkaIn200|HasBiedronkaIn100|HasOtherDiscounterIn500|HasOtherDiscounterIn200|HasOtherDiscounterIn100|HasLiqureStoreIn500|HasLiqureStoreIn200|HasLiqureStoreIn100|DirectCompetitorsPerPP100K500m|DirectCompetitorsPerPP100K200m|DirectCompetitorsPerPP100K100m|DistanceCenterCompetitorsin200|TransportPOIs500m|TransportPOIs200m|TransportPOIs100m|TrafficDriversPOIs500m|TrafficDriversPOIs200m|TrafficDriversPOIs100m|AccomodationPlaces|CafeRestaurants500m|CafeRestaurants200m|CafeRestaurants100m|HasBigTrafficGenerator500m|HasBigTrafficGenerator200m|HasBigTrafficGenerator100m|HasChurchesIn500|HasChurchesIn200|HasChurchesIn100|HasBigDrugstoreIn100|HasSchoolIn200|HasSchoolIn100|HasMetroTrainStIn500|HasMetroTrainStIn200|HasMetroTrainStIn100|HasBusStopIn100|HasBusStopIn50|HasHospitalIn50|OfficeArea500m|OfficeArea200m|OfficeArea100m|asRuralArea500m|RuralArea200m|RuralArea100m|IsOfficeDistrict|DistanceCenterTrafficDriversin200|HasRossmannIn100|DistrictCategory|PP_PC_GMINA_CAT|POP_GMINA_CAT|IsCapitalCity|odl_drogi_krajowe_50m|odl_drogi_krajowe_25m|LocationClass|odl_drogi_sec_tert_25m|AccomodationPlacesPerPop|IsTouristicDistrict
83|0,11940298507462686|,921052631578|,977653631284|0|1|0|253|2032|40,406664516928707|10,10166308934881|5294672,8308635289|847147,49997942627|211786,81126206336|84639|473009|63967|26362|0,1067193675889328|5,0994652290151916E-6|27|1|1|1|1,5810276679841896E-2|7,5547633022447285E-7|8,3686923647957704E-8|4|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1|0|3|10|0|0|0|0|0|0|0|0|0|1,8886908255611821E-2|0,11804319791114132|0,47217293373505098|98,676575408760115|2|0|0|15|11|9|78|2|0|0|0|0|0|1|1|1|0|1|0|1|0|0|0|0|0|0|0|0|0,29820610500902733|0|0|0|22,925432529286425|0|miejsko-wiejska|<20TYS|20-50TYS|0|0|0|institutional hub|1|2,9588043395796979|0
85|0,12835820895522387|,900000000000|,837988826815|0|0|0|862|3532|14,316528658177543|3,5791320258114965|21603891,169792503|330437,29963688325|82609,321707151204|37026|225743|34055|20206|0,05336426914153132|2,1292460528739932E-6|46|2|1|1|2,3201856148491878E-3|9,257591534234752E-8|1,5228634812724671E-8|2|3|0|0|1|1|0|1|1|0|1|0|1|0|0|0|0|1|4|0|0|0|1|1|0|1|0|0|9,2575915342347527E-3|0,30262927372269949|1,210517141812379|147,66857055183692|1|0|0|10|0|0|559|0|0|0|1|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0,08255046502013591|0|0|0|86,309183275087364|0|miejsko-wiejska|20-25TYS|20-50TYS|0|0|0|neighbourhood|0|27,665049985152926|0
102|9,5522388059701493E-2|,915789473684|,798882681564|0|0|0|307|1192|49,132301485927087|12,283115945798677|7474669,534514674|1195944,5315394944|298987,12051685818|113766|648561|93537|48220|0,36482084690553745|1,4983940023412968E-5|112|2|1|1|2,2801302931596091E-2|9,3649625146331051E-7|5,0905545711458822E-8|7|0|0|0|2|0|0|1|0|0|1|0|1|0|0|0|1|2|5|1|0|0|0|0|0|1|0|0|2,6757035756094585E-2|8,3615918098871825E-2|0,334462567575253|200|3|1|1|5|1|0|281|5|1|1|0|0|0|0|0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|74,651318515974339|0|miejska|20-25TYS|20-50TYS|0|0|0|neighbourhood|1|5,8274574865201165|0
117|0,11044776119402985|,926315789473|,983240223463|0|0|0|180|1458|28,827791966973667|7,2069457430913841|4647172,6331641618|743549,29820216226|185887,26655152204|73612|415632|57464|29165|0,22777777777777777|8,8225687394109061E-6|41|2|1|1|0|0|0|0|0|0|0|0|0|0|1|0|0|2|0|2|1|1|0|0|1|6|1|0|0|0|0|0|1|0|0|6,4555381020079808E-2|0,26898014762919237|0,53796046310833878|150,35414890639723|3|0|0|7|1|0|45|2|2|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7,4427034535979236E-2|1,6776478744044816E-2|0|0|58,014660786790436|0|miejsko-wiejska|20-25TYS|20-50TYS|0|0|0|neighbourhood|1|1,5429453111606377|0
121|0,14029850746268657|,910526315789|,368715083798|0|0|0|168|242|26,959436519716974|6,7398588809843005|3047996,7655568775|487679,47168126923|121919,86341705782|44831|265367|38893|16080|6,5476190476190479E-2|3,6089277141966618E-6|11|1|1|1|5,9523809523809521E-3|3,2808433765424197E-7|7,7956530321577346E-8|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|3,2808433765424194E-2|0,20505271557822841|0,82021089260840652|200|0|0|0|0|0|0|30|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,80640525667704688|0,9311276656975056|1,0000000211191766|0|200|0|miejsko-wiejska|20-25TYS|<20TYS|0|0|0|neighbourhood|1|1,8656716417910448|0
163|9,5522388059701493E-2|,894736842105|,223463687150|0|1|0|58|1886|9,3217918486859865|2,3304469688667449|1212219,6867962843|193955,27762145246|48488,798738016958|80867|457701|66247|13402|0,91379310344827591|4,3721447999307035E-5|53|1|1|1|8,6206896551724144E-2|4,1246649055950031E-6|2,1057251519468854E-8|5|1|1|1|1|1|1|0|0|0|1|0|1|0|0|0|2|2|7|0|0|0|0|0|0|1|0|0|8,2493298111900065E-2|0,51558277364935945|2,0623319736233516|47,366318132260666|0|0|0|12|8|5|277|3|2|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3,9682554755296289E-4|0|0|0|31,705211535952831|0|miejska|20-25TYS|<20TYS|0|0|0|institutional hub|0|20,668556931801223|1
191|0,11940298507462686|,905263157894|,111731843575|0|0|0|275|3571|43,948190421776061|10,987048430183901|6756451,0414236886|1081034,5629851988|270258,66103319463|44773|251698|36601|46221|1,0363636363636364|4,2181908557121147E-5|285|2|1|1|0,02181818181818182|8,8804018014991898E-7|3,7145228801646618E-8|6|1|0|0|3|2|1|1|0|0|4|1|4|0|0|0|0|1|9|1|0|0|0|0|0|1|1|0|2,9601339338330632E-2|9,2503980375851474E-2|0,37001589372825855|67,97483327184888|6|0|0|7|0|0|239|3|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|33,166761124052634|0|miejska|25-30TYS|20-50TYS|0|0|0|neighbourhood|0|5,1708098050669609|0
193|0,11044776119402985|,905263157894|,860335195530|0|0|0|2337|3745|311,07580812141566|77,768972443458011|55853582,543331161|7436540,0492728772|1859135,5003113782|143107|814483|119486|75802|5,0492083868207104E-2|2,1126666299060708E-6|118|1|1|1|2,5673940949935813E-3|1,0742372694437648E-7|1,9770770385381243E-7|6|3|1|1|2|0|0|1|1|1|0|0|0|0|0|0|1|1|2|1|1|1|0|0|0|0|0|0|1,7903954490729416E-3|1,3447113756857627E-2|5,3788440908826417E-2|33,531707680479812|0|0|0|5|1|1|1708|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,44110382306795926|0,2210198816401415|0|0|51,265869625206932|0|miejska|20-25TYS|50-200TYS|0|0|0|neighbourhood|0|22,532387008258357|0
199|0,1373134328358209|,905263157894|,709497206703|0|0|0|416|3563|66,579519230277469|16,644876591576121|9117385,7134843972|1458783,452078037|364695,79255583242|182532|1042336|151988|39106|0,1875|8,5550839298857179E-6|78|1|1|1|0,03125|1,4258473216476198E-6|1,5140462718044038E-7|13|1|0|0|2|1|1|0|0|0|0|0|0|0|0|0|2|2|6|0|0|0|0|0|0|0|0|0|1,0968056320366305E-2|6,8550270334880758E-2|0,2742011343185175|0,84527736087708039|0|0|0|4|3|3|563|4|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|44,248934223803381|0|miejska|20-25TYS|20-50TYS|0|1|0|neighbourhood|0|14,396767759423106|0
332|0,21791044776119403|,884210526315|,111731843575|0|1|0|538|3708|86,073596676488194|21,518407354495139|11302463,024491703|1808395,2200117689|452098,97697658039|216525|1212646|174131|63371|0,48513011152416358|2,3092311776152681E-5|261|1|1|1|0,05204460966542751|2,4773361292424332E-6|2,8671057852521176E-7|28|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|1|2|7|0|0|0|0|0|0|1|0|0|8,8476290330086905E-3|5,5297646716489998E-2|0,22119050272741536|200|1|1|0|4|1|1|558|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5,2239875125763786E-2|0|0|0|82,501987708850848|0|miejska|20-25TYS|50-200TYS|0|0|0|neighbourhood|0|8,8052894857269095|0
337|0,17014925373134329|,873684210526|,927374301675|0|1|0|592|2958|94,68212043275463|23,670319636831433|14051397,532872036|2248225,344789145|562051,33855847642|117585|641416|88885|56397|0,13513513513513514|5,693383865401778E-6|80|3|2|1|3,3783783783783786E-3|1,4233459663504445E-7|2,6719775532356748E-8|2|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|2|2|6|1|0|0|0|0|0|0|0|0|2,1350189495256668E-2|8,8959054066156104E-2|0,17791969014160774|164,34065101662117|8|1|0|1|0|0|151|1|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|3,4464081762503762E-2|0|0|0|108,64882759854945|0|miejska|20-25TYS|50-200TYS|0|0|0|neighbourhood|0|2,6774473819529407|0
340|0,12835820895522387|,873684210526|,692737430167|0|1|0|275|5357|43,947923269794998|10,986917945942965|6756449,0791224958|1081027,991599157|270255,45139081753|89334|502205|73028|46221|1,0363636363636364|4,2181920808173222E-5|285|2|2|1|0,02181818181818182|8,8804043806680459E-7|3,7145228801646618E-8|6|6|1|1|4|1|1|0|0|0|5|0|5|1|0|0|1|2|18|0|0|0|0|0|0|1|0|0|4,4402021903340229E-2|0,18500908538375721|0,37002028815836757|65,458287620388518|11|2|2|18|9|3|239|9|4|1|0|0|0|1|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|43,024392003487151|1|miejska|25-30TYS|20-50TYS|0|0|0|neighbourhood|0|5,1708098050669609|0
418|0,20000000000000001|,873684210526|,441340782122|0|0|0|12010|12387|2909,3514276855749|849,94621480901662|326180426,72279859|79535230,364351854|23283587,908472683|1761908|10089087|1545125|107948|2,4146544546211489E-3|8,8907848614243738E-8|29|2|1|1|3,3305578684429644E-4|1,2263151532999137E-8|1,1524135498339964E-6|4|1|0|0|1|0|0|2|0|0|3|1|3|0|0|0|0|4|11|0|0|0|1|0|0|1|1|1|6,1315757664995687E-4|1,2573044617070798E-3|4,2948707215184363E-3|0,44077300396165769|5|1|0|2|0|0|780|3|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|140,96097095867978|0|miejska|25-30TYS|50-200TYS|0|0|0|neighbourhood|0|7,2257012635713496|0
485|0,13432835820895522|,852631578947|,212290502793|0|0|0|3285|9505|553,49941021085181|138,40360932240509|84788662,050661698|14245724,839275902|3562131,7520396807|958506|5106723|688242|195472|4,7792998477929984E-2|1,8516626657723602E-6|157|1|1|1|1,0350076103500762E-2|4,0099701042203979E-7|1,0378763676396977E-6|34|3|1|1|0|0|0|2|1|1|1|1|1|0|0|0|2|4|8|1|1|1|1|0|0|1|1|0|1,1794029718295289E-3|7,0196498337730716E-3|2,8073077292197258E-2|44,3439708285891|7|1|1|5|2|0|1718|1|0|0|1|1|1|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|62,897477071316224|0|miejska|25-30TYS|50-200TYS|0|0|0|institutional hub|0|8,788982565277891|0
539|0,11343283582089553|,857894736842|,435754189944|0|0|0|124|1557|19,860664447312129|4,9651656746589534|2145818,7109458232|343330,97561372485|85832,73634609663|65727|379044|55876|22507|0,62903225806451613|3,6349762261891899E-5|78|1|1|1|2,4193548387096774E-2|1,3980677793035344E-6|2,1066265659640741E-8|3|2|1|0|0|0|0|1|1|0|2|1|2|0|0|0|3|6|13|1|1|0|0|0|0|1|1|0|4,6602259310117813E-2|0,29126413607523749|1,1650566468809502|130,79559416328274|2|0|0|12|4|2|49|4|3|2|0|0|0|1|0|0|1|1|1|1|0|0|0|0|0|0|0|0|0,13485746868580667|0|0|0|46,806891202574981|1|miejsko-wiejska|<20TYS|20-50TYS|0|1|0|institutional hub|0|2,1771004576354023|0
676|0,15522388059701492|,826315789473|,748603351955|0|0|0|1301|1497|534,92749812360557|173,74640931733416|34274949,785177864|13996457,801417295|4421349,817161886|318681|1763290|250595|107948|3,843197540353574E-3|1,4587913421720724E-7|5|1|1|1|7,6863950807071484E-4|2,9175826843441448E-8|4,5972814769890736E-8|1|0|0|0|0|0|0|0|0|0|2|0|2|0|0|0|0|0|2|0|0|0|0|0|0|1|0|0|2,9175826843441449E-3|7,144664844406126E-3|2,2617527256459234E-2|200|0|0|0|0|0|0|780|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,44344740068225286|9,2842476544786792E-2|0|0|200|0|miejska|25-30TYS|50-200TYS|0|0|0|neighbourhood|0|7,2257012635713496|0
689|0,18208955223880596|,815789473684|,111731843575|0|0|0|7268|8403|1630,3487944849571|478,49374502526803|229198858,419743|51179426,003497265|15091332,953322081|3110714|16452579|2194495|306826|2,6141992294991746E-3|8,2897446047503336E-8|19|2|1|1|1,2383048981838194E-3|3,9267211285659474E-8|4,7469245456390455E-6|9|2|0|0|0|0|0|0|0|0|3|2|3|0|0|0|6|6|11|0|0|0|0|0|0|1|1|1|8,726046952368771E-4|1,9539101511839283E-3|6,6263199088710603E-3|26,145366175623415|2|2|2|3|0|0|3743|1|0|0|1|0|0|1|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|76,173700026826467|0|miejska|30-35TYS|200-500TYS|1|0|0|neighbourhood|1|12,199096556354416|0
691|0,15820895522388059|,821052631578|,329608938547|0|0|0|9650|8949|2245,1261815871449|686,71180405467089|231104809,08504799|54103699,850517057|16541209,465068946|2193820|11841219|1628734|348383|3,4196891191709843E-3|1,4279235525495188E-7|33|1|1|1|7,2538860103626946E-4|3,0289287478323121E-8|2,6533276297723596E-6|7|2|0|0|1|0|0|0|0|0|1|0|1|0|0|0|0|0|16|0|0|0|0|0|0|1|0|0|4,3270410683318743E-4|1,8483024317429248E-3|6,0455071445153956E-3|200|5|0|0|3|1|0|2250|0|0|0|0|0|0|1|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0,12811550107614034|0|0|0|87,676455366537866|0|miejska|20-25TYS|200-500TYS|1|0|0|neighbourhood|0|6,4584092794424528|0
706|0,18805970149253731|,815789473684|,134078212290|0|0|0|1375|2729|219,97405224099185|54,993525877738961|33248026,525193717|5319695,2041119942|1329924,1109970368|126247|720154|102302|72382|0,10690909090909091|4,4213150482363407E-6|147|1|1|1|0,01090909090909091|4,5115459675881029E-7|3,6037249039640228E-7|15|1|0|0|1|0|0|0|0|0|0|0|0|1|1|1|0|1|8|0|0|0|0|0|0|0|0|0|6,0153946234508034E-3|3,7596138937697955E-2|0,15038452070025343|75,370004559106377|0|0|0|1|0|0|484|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|117,27823557874152|0|miejska|20-25TYS|50-200TYS|0|0|0|neighbourhood|0|6,6867453234229508|0
808|0,12835820895522387|,784210526315|,474860335195|0|0|0|9648|10559|2198,2155069960563|611,17678847307445|306098456,67427725|69541615,195092246|19183625,495631337|2100614|11192300|1523873|306826|4,6641791044776115E-3|1,4701152200804788E-7|45|9|3|1|1,0364842454394693E-4|3,266922711289953E-9|5,5204042006254931E-7|1|2|1|0|5|2|0|0|0|0|5|1|5|3|1|0|0|5|13|0|0|0|0|0|0|1|1|1|3,9203072535479435E-3|5,7519515311492096E-3|5,2127789933541432E-3|70,888569086852442|20|6|0|26|8|4|3743|13|5|0|1|0|0|1|1|1|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|31,621620557547875|0|miejska|30-35TYS|200-500TYS|1|0|0|transport-institutinal hub|0|12,199096556354416|0
819|0,17313432835820897|,778947368421|,083798882681|0|0|0|113|1452|18,687904709589745|4,6719743628075747|3046994,8261681767|503717,10214512632|125929,22662550423|581975|3178802|427945|31442|0,48672566371681414|1,8050572166270002E-5|55|1|1|1|5,3097345132743362E-2|1,9691533272294548E-6|2,1990074182037086E-8|6|3|1|0|1|1|1|2|0|0|1|0|1|1|1|0|2|3|8|1|0|0|0|0|0|1|0|0|6,5638444240981836E-2|0,3970482621064112|0,79409683263906561|93,116398399985627|8|2|0|13|4|1|255|4|2|0|1|0|0|1|1|1|0|1|1|1|0|0|0|0|0|0|0|0|5,3296543330354294E-2|0|0|0|72,900642381175956|0|miejsko-wiejska|25-30TYS|20-50TYS|0|0|0|institutional hub|1|8,1101711087080979|0
